rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
25,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,158372315136,0.5153846153846153,2026-11-05,44,3.0,1.0,6.8075,6.555000000000001,1.2816901408450705,0.3682519280205656,0.25288030444280674,1,0.11537162357775888,0.355,0.3151,0.144,0.1418,0.5824495502200491,0.1605711756207675,-0.06649199340377743,0.4494364642626525,0.10809374172054742,17.460926,13.706977190383254,buy,-0.1024305274244511,2.3620986856280974,
26,BLK,BlackRock,Financials,Asset Management & Custody Banks,173813792768,0.5079326923076923,2026-10-14,22,4.0,0.0,7.297499999999999,4.374999999999999,0.15435684647302894,0.3062880324543611,0.12811118287424406,2,0.17817684958011704,0.306,0.35079,0.24089001,0.122779995,0.10120548453503023,0.018580447130760236,-0.09142607314695461,-0.03458113698079324,0.23699495574782992,25.6419,16.634682455555534,strong_buy,0.016367556500023268,0.5988442822384428,LOW_CASH_CONVERSION
27,VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,128762519552,0.4932692307692308,2026-11-02,41,2.0,2.0,1.5150000000000001,0.45999999999999996,0.04646017699115057,0.12453199311903407,0.05163643229716697,3,0.0728955608218671,0.125,0.38055,0.34997,0.23542999,-1.151808678533061,0.08121995844187313,-0.08893114861408002,0.31303113612810707,0.11969391372003302,29.589056,25.249093818104136,buy,0.004364554994170229,0.9745074003450468,
28,UNP,Union Pacific Corporation,Industrials,Rail Transportation,165966872576,0.4675480769230769,2026-10-22,30,3.0,1.0,2.51,2.5700000000000003,0.1254125412541256,0.11537211569710748,0.07562509788143257,2,0.03974701781567491,0.115,0.40982,0.28847,0.39696,2.2551226328245417,0.07209364334983737,-0.09643148317405925,0.3135237157252435,0.18048346552628924,22.621052,19.724141655262603,buy,-0.041963844992738954,1.4001364256480218,
29,EW,Edwards Lifesciences,Health Care,Health Care Equipment,50820108288,0.45336538461538456,2026-10-29,37,3.0,1.0,4.7,3.04,0.16417910447761197,0.13627463777574733,0.03159731448162395,3,0.10467732329412338,0.136,0.29839,0.15431,0.09175,-1.776993141025641,0.03828272944252609,-0.07270433018236722,0.17367028880303104,0.14391046404196262,52.535717,26.134540632556092,buy,-0.052303350660554616,1.7119116329983084,
30,VEEV,Veeva Systems,Health Care,Health Care Technology,42130300928,0.44254807692307696,2026-11-25,64,4.0,0.0,5.42,-0.16000000000000014,0.18090452261306544,0.17600474476004369,0.0362517812293115,3,0.1397529635307322,0.176,0.29637,0.29345,0.14425,-6.59442139257445,0.30639900447086665,-0.15025148449550174,-0.052334459246560994,0.14252453696161904,42.72742,25.384755166401153,buy,-0.0762837455633615,1.641214972427304,
31,JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,650648485888,0.4302884615384615,2026-10-13,21,3.0,1.0,0.9525,0.5250000000000001,0.04693140794223827,0.06599839952828201,0.00980194902716991,3,0.056196450501112105,0.066,0.2919,0.21482,0.25742,0.8109085010557137,0.14153683104473602,-0.03031283505162552,0.557982146578875,0.029331123567768458,31.357723,22.243367195450237,buy,-0.03331727722144758,1.3123544231591957,
32,JPM,JPMorgan Chase,Financials,Diversified Banks,929488044032,0.4283653846153846,2026-10-13,21,3.0,1.0,3.435,6.7700000000000005,0.2379032258064515,0.1775767568290183,0.13337947119658122,3,0.04419728563243708,0.304,0.50394,0.34921002,0.17789,,0.09714743278058369,-0.04247214951290379,0.14309379714780923,0.07352914343505534,14.994426,13.993524537367584,buy,0.0475776925568518,-2.4979482687076398,"LOW_CASH_CONVERSION,RECEIVABLES_OUTRUN"
33,PAYX,Paychex,Industrials,Human Resource & Employment Services,41343574016,0.4201923076923077,2026-09-23,1,4.0,0.0,1.76,-0.2999999999999998,0.10924369747899165,0.12485111749457012,0.014570088619716648,3,0.11028102887485347,0.125,0.38325,0.27029,0.44769,1.156302882298585,0.13253645192804764,-0.08795348885140164,-0.08458915391001676,0.04184605334847924,23.750511,18.163817904543528,hold,-0.048664267867288155,1.4525879211408443,
34,ABBV,AbbVie,Health Care,Biotechnology,466448285696,0.4115384615384615,2026-10-29,37,3.0,1.0,1.6925000000000001,-3.0050000000000003,0.2289562289562288,0.10160150424690406,0.025549733976337308,2,0.07605177027056675,0.102,0.40035,0.098000005,,2.0906933534900083,0.1623780463172173,-0.005602098836472114,0.22836585241746876,0.05341477021642338,74.56497,16.2581431702762,buy,-0.09693092468885078,3.0914421553090334,
35,AME,Ametek,Industrials,Electrical Components & Equipment,54481641472,0.4043269230769231,2026-10-29,37,4.0,0.0,4.84,-1.17,0.1741573033707864,0.14979336983762037,0.0688235367699015,3,0.08096983306771888,0.15,0.26182,0.20044,0.14562,0.7260011451340148,0.046031208497995246,-0.07942782097248136,0.28372376765535146,0.17123944081328002,34.74269,24.79285393632235,buy,-0.024108840143448194,1.243656860816992,
