rank,ticker,security,gics_sector,gics_sub_industry,marketCap,composite_score,next_earnings,days_to_earnings,eps_beats_4q,eps_misses_4q,eps_surprise_avg_4q,eps_surprise_trend,eps_yoy_q,rev_yoy_q,rev_accel,rev_up_years,beat_up_rate,n_beats_measured,reaction_avg_move,reaction_avg_abs_move,reaction_worst,reaction_last4,ret_21d,run_into_print_flag,rev_growth_ttm,revenueGrowth,operatingMargins,profitMargins,returnOnEquity,net_debt_ebitda,dist_sma200,dist_52w_high,ret_12m,analyst_upside,trailingPE,forwardPE,recommendationKey,accrual_ratio,cfo_ni,eq_flags
14,AME,Ametek,Industrials,Electrical Components & Equipment,54481641472,0.5525988142292491,2026-10-29,38,4.0,0.0,4.84,-1.17,0.1741573033707864,0.14979336983762037,0.06863639521038345,3,0.875,8.0,0.03574038034047762,0.0406689766118956,-0.019714385085671915,"+4%, +3%, +1%, +8%",-0.02151833782752466,False,0.08115697462723692,0.15,0.26182,0.20044,0.14562,0.7260011451340148,0.046031208497995246,-0.07942782097248136,0.28372376765535146,0.17123944081328002,34.74269,24.79285393632235,buy,-0.024108840143448194,1.243656860816992,
15,FOXA,Fox Corporation (Class A),Communication Services,Broadcasting,27176863744,0.5517638339920948,2026-10-29,38,4.0,0.0,40.415,-15.190000000000005,0.40944881889763773,0.2814116215393976,0.24269803621273667,2,0.75,8.0,0.03321607131084145,0.05142250157436437,-0.03667948176870539,"+5%, +8%, -4%, +8%",-0.04745823181265052,False,0.038713585326660915,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.021416108997952543,-0.14528588832711242,0.09848504304526595,0.18575986995580984,16.783854,11.044808477019671,buy,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
16,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,4274851676160,0.5482658102766798,2026-10-28,37,4.0,0.0,84.9275,135.965,2.9437229437229435,0.2423362508814868,0.09377276018363156,3,0.625,8.0,0.003243015325279236,0.04421410151673258,-0.07292376196779526,"-7%, +10%, -2%, +3%",0.014634147637836659,False,0.14856349069785524,0.242,0.34033,0.54771,0.48676,-0.7027037421946938,0.03694292318223269,-0.1307595289172021,0.4044365385614017,0.2249220676693271,17.54719,23.48764057418335,strong_buy,0.08220297801460076,0.7603243176839131,HIGH_ACCRUALS
17,DXCM,Dexcom,Health Care,Health Care Equipment,33717184512,0.5460968379446641,2026-10-29,38,4.0,0.0,11.5275,11.044999999999998,0.45833333333333326,0.1307579293060237,0.023448976744136818,3,0.6666666666666666,6.0,0.030525082549987856,0.09037947810083287,-0.14633425475243056,"+12%, +3%, +8%, -15%",-0.005896737822571718,False,0.10730895256188688,0.131,0.24327,0.20118,0.38491002,-0.3909635575826682,0.2410213247639308,-0.03238031169969435,0.16889057588153245,0.05741467950181045,35.316204,28.600602511571832,strong_buy,-0.10869013154553304,1.749224767430229,
18,ISRG,Intuitive Surgical,Health Care,Health Care Equipment,140921503744,0.5381719367588933,2026-10-20,29,4.0,0.0,15.7,-0.8699999999999974,0.27853881278538806,0.18536885245901646,0.03474821022512864,3,0.625,8.0,0.017171898064609656,0.0670704965087044,-0.14145098561851588,"-14%, +7%, +0%, +14%",-0.01103795291904719,False,0.15062064223388782,0.185,0.33603,0.28445998,0.17423001,-1.247655996938385,-0.13573917027169136,-0.33654380910866744,-0.0929991623605374,0.2110564570761051,45.054985,32.52927288949622,buy,-0.02766095351341868,1.180833439531031,
19,BAC,Bank of America,Financials,Diversified Banks,403691372544,0.5381324110671936,2026-10-14,23,4.0,0.0,7.545,1.4299999999999997,0.3595505617977528,0.07168902892342555,0.04611276463170766,3,0.75,8.0,0.01329459014743857,0.025178792581662543,-0.03777039589155018,"+2%, +2%, -4%, +4%",-0.08145408694664147,False,0.025576264291717887,0.168,0.38305,0.29524,0.111990005,,0.05538393248620732,-0.10469765980745782,0.1470926739686298,0.1927445097175664,13.332563,10.909804913491906,buy,-0.0072501939198990305,1.781581682466694,RECEIVABLES_OUTRUN
20,FOX,Fox Corporation (Class B),Communication Services,Broadcasting,24347437056,0.5367638339920947,2026-10-29,38,4.0,0.0,36.055,-18.269999999999996,0.40944881889763773,0.2814116215393976,0.24269803621273667,2,0.75,8.0,0.0341062889172752,0.052895252104244325,-0.037670151755103576,"+6%, +8%, -4%, +8%",-0.03916104655698627,False,0.038713585326660915,0.281,0.25214002,0.09839,0.14291,0.8663060728715037,0.019950463943350094,-0.13906576415347183,0.08898456231744678,,15.036459,10.05047929216133,none,-0.012478928125752567,1.1691394658753709,RECEIVABLES_OUTRUN
21,VRT,Vertiv,Industrials,Electrical Components & Equipment,96012197888,0.5291798418972331,2026-10-21,30,4.0,0.0,13.0025,-3.915000000000001,0.6000000000000001,0.2411584094613548,0.04723550278580535,3,0.625,8.0,0.01959948846760265,0.09624068403942868,-0.17257756593785578,"-17%, +5%, +24%, +7%",-0.044248529183359975,False,0.19392290667554946,0.241,0.20362,0.15088001,0.43943,0.08496346829749289,-0.04438323039534675,-0.33683373774894976,0.8245672770838848,0.35592381742487755,56.55102,27.338319933092805,strong_buy,-0.12332792288013503,1.9366050808314088,INVENTORY_BUILD
22,BMY,Bristol Myers Squibb,Health Care,Pharmaceuticals,128813588480,0.5140612648221345,2026-10-29,38,4.0,0.0,12.76,13.4,0.3972602739726028,0.057380389599804404,0.03743405603091787,0,0.625,8.0,0.01734851507594,0.04550989283044175,-0.05806857344274785,"+3%, +5%, +4%, +7%",-0.06729772512920096,False,0.019946333568886532,0.057,0.34418,0.18871,0.46598998,1.7953514078079758,0.08546555954872725,-0.07387274541239075,0.43199968329478766,0.057854877057681664,13.889869,9.60571920918883,buy,-0.03839613844550491,1.3770739064856712,
23,NSC,Norfolk Southern,Industrials,Rail Transportation,70562963456,0.5069268774703558,2026-10-22,31,4.0,0.0,7.9375,-3.6750000000000007,0.06990881458966558,0.11414790996784574,0.08325388465338146,1,0.7142857142857143,7.0,0.013628672472779768,0.0267429428084075,-0.030444768138985334,"+5%, -1%, +2%, -2%",-0.09126142886462796,False,0.03089402531446428,0.114,0.35296002,0.21021,0.16985,2.839660947600512,0.018370054784712986,-0.1099779197573949,0.14999047110712338,0.16271252146046455,26.80546,21.936832255713895,hold,-0.024552796352924046,1.4157814871016692,
